,id,name,all_time_quantity_sold,price,store_id,discount,discount_rate,images,inventory_status,list_price,original_price,rating_average,review_count
63,3639597,Bước Chậm Lại Giữa Thế Gian Vội Vã (Tái Bản),47836,59300,40395,25700,30,https://salt.tikicdn.com/ts/product/63/a2/b5/01a20949ec17b9b6466901918285ed5f.png,1,85000,85000,4.8,3965
64,4780917,Người Đua Diều (Tái Bản 2018),21080,90200,40395,38800,30,https://salt.tikicdn.com/ts/product/2c/af/62/c7f70bf0b15e19de63682a9433b8140b.png,1,129000,129000,4.8,2587
65,174588795,Ngụy Võ Đế Tào Tháo (Tái Bản 2022),83,324000,40395,91000,22,https://salt.tikicdn.com/ts/product/9f/b0/6d/fc3e3898b88eb0f05d1c1bc047857847.png,1,415000,415000,5.0,17
66,50215817,Combo Cẩm Nang Bé Gái Tuổi Dậy Thì - Quyển 1 Và 2 (Tái Bản 2019) (Bộ 2 Quyển),235,260500,26242,0,0,https://salt.tikicdn.com/ts/product/77/f2/63/d284bf77ee91d9ba8018ac985b32a09c.jpg,1,260500,260500,4.7,27
67,52785564,Dịch Hạch (Nobel Văn Chương 1957),3565,83850,40395,45150,35,https://salt.tikicdn.com/ts/product/66/a3/17/0b51ca0db5a98c5b2753c7426738d979.png,1,129000,129000,4.6,588
68,200617436,Từ Điển Việt - Anh (Khoảng 75.000 mục từ ),36,57800,40395,27200,32,https://salt.tikicdn.com/ts/product/41/38/99/5d43323c19f85f25868a0d209c128b97.jpg,1,85000,85000,4.7,3
69,247667661,Các Nghị Quyết Của Hội Đồng Thẩm Phán Toà Án Nhân Dân Tối Cao Về Hình Sự - Tố Tụng Hình Sự - Dân Sự - Tố Tụng Dân Sự -Hành Chính,3,290000,10577,105000,27,https://salt.tikicdn.com/ts/product/7b/8b/7d/a096e489ff2b2facb7a417b6f1dd112e.jpg,1,395000,395000,0.0,0
70,17336364,Phía Sau Nghi Can X (Tái Bản 2019),18875,77400,40395,51600,40,https://salt.tikicdn.com/ts/product/8e/24/65/9ac224e8becb309c244f62f0922c333a.jpg,1,129000,129000,4.8,3489
71,71345381,Sách Thay Đổi Cuộc Sống Với Nhân Số Học - Lê Đỗ Quỳnh Hương,31687,177000,40395,71000,29,https://salt.tikicdn.com/ts/product/8c/52/24/0cdce8c01252f9798255b95790219f73.jpg,1,248000,248000,4.8,5249
72,197344455,Ikigami - The Ultimate Limit - Tuyển Tập Những Câu Chuyện Lay Động Lòng Người - Tập 9,611,31600,40395,13400,30,https://salt.tikicdn.com/ts/product/06/5a/ba/666c8e3d4bb104430dde2db9351f18c0.jpg,1,45000,45000,5.0,84
